time,bid_price,ask_price,total_volume,open_price,quote_time
2022-12-30 17:36:24.591000,,,8782733,,
2022-12-30 17:36:25.137000,,,8782734,,
2022-12-30 17:36:25.666000,,,8782769,,
2022-12-30 17:36:26.194000,119,119.02,8782794,,45385
2022-12-30 17:36:26.756000,118.99,,8782870,,45386
2022-12-30 17:36:27.262000,,119.01,,,45387
2022-12-30 17:36:28.320000,,119.02,8783023,,
2022-12-30 17:36:28.828000,,,,,45388
2022-12-30 17:36:29.357000,119.01,119.03,8783042,,45389
2022-12-30 17:36:29.866000,,119.02,,,
2022-12-30 17:36:30.414000,118.99,119.01,8783122,,45390
2022-12-30 17:36:30.930000,,,8783266,,
2022-12-30 17:36:31.460000,,119.02,8783272,,45391
2022-12-30 17:36:31.967000,,119.01,8783282,,
2022-12-30 17:36:32.483000,,119.02,8783283,,45392
2022-12-30 17:36:33.003000,119.01,,8783464,,
2022-12-30 17:36:33.551000,,,,,45393
2022-12-30 17:36:34.610000,119.03,119.04,8786457,,45394
2022-12-30 17:36:35.111000,,,8786520,,
2022-12-30 17:36:35.656000,,,8786695,,
2022-12-30 17:36:36.169000,,,,,45396
2022-12-30 17:36:36.699000,,,8786705,,
2022-12-30 17:36:37.200000,,,8786723,,
2022-12-30 17:36:37.736000,,,,,45397
2022-12-30 17:36:38.257000,,,8786773,,
2022-12-30 17:36:38.761000,,,8786783,,45398
2022-12-30 17:36:39.278000,,,8786825,,
2022-12-30 17:36:39.818000,,,,,45399
2022-12-30 17:36:40.397000,,,8787073,,45400
2022-12-30 17:36:40.902000,119.05,119.07,8789038,,
2022-12-30 17:36:41.978000,,,8789088,,45401
2022-12-30 17:36:42.512000,119.06,119.09,8795032,,45402
2022-12-30 17:36:43.038000,,119.08,8795127,,
2022-12-30 17:36:43.542000,119.05,119.06,8795435,,45403
2022-12-30 17:36:44.074000,,119.07,,,
2022-12-30 17:36:44.580000,119.04,119.05,8795839,,45404
2022-12-30 17:36:45.121000,119.03,119.04,8795939,,
